Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$19.6399,0.4281,2.228%,40228780.00,United States,,1871,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.5016,-0.0084,-1.647%,68830258.00,Canada,2015,1635156,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$38.7501,0.0601,0.155%,129510972.00,United States,1988,6903,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$10.42,-0.42,-3.875%,16108111.00,United States,,1073545,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.75,0.02,0.206%,140156250.00,United States,2021,263502,Finance,Business Services
AE,Adams Resources & Energy Inc. Common Stock,$26.34,0.34,1.308%,111971735.00,United States,,5979,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.54,-0.025,-0.292%,433420184.00,United States,,47116,,
AGE,AgeX Therapeutics Inc. Common Stock,$1.57,-0.05,-3.086%,59558088.00,,2018,123095,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.16,0.00,0.00%,85730426.00,United States,,506791,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$8.95,-0.05,-0.556%,26936045.00,United States,2014,57414,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.30,-0.02,-1.515%,41600202.00,United States,,455066,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$1.82,-0.12,-6.186%,42251912.00,China,,272969,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.69,0.07,4.321%,330613226.00,United States,,1608101,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.47,-0.08,-3.137%,14229670.00,United States,,48599,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$24.13,-0.94,-3.75%,167628794.00,United States,2020,261311,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$9.60,0.27,2.894%,130528867.00,Canada,,258273,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.20,-0.11,-2.552%,104749856.00,United States,,6738,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.22,0.00,0.00%,121750198.00,Canada,,1403553,Basic Industries,Precious Metals
ASXC,Asensus Surgical Inc. Common Stock,$2.10,0.04,1.942%,488437639.00,United States,,12498723,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.58,-0.18,-2.32%,145881936.00,United States,,460444,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.6813,-0.0049,-0.714%,110690547.00,United States,,614391,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.72,-0.2143,-5.447%,14505883.00,United States,,64254,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.66,0.04,1.527%,377536923.00,Canada,,517035,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$11.5578,-0.2296,-1.948%,188012547.00,,,3067,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$30.60,0.175,0.575%,168844252.00,United States,,11727,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.65,-0.03,-0.117%,,United States,,6293,,
BDL,Flanigan's Enterprises Inc. Common Stock,$25.40,-0.0231,-0.091%,47209634.00,United States,,508,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.21,-0.05,-3.968%,14367594.00,United States,,194888,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$2.24,0.09,4.186%,40254773.00,Canada,,2308606,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$30.57,-0.73,-2.332%,456871615.00,United States,,29605,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$13.11,-0.23,-1.724%,528671592.00,,2018,162810,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$4.51,-0.13,-2.802%,56428967.00,United States,,6618,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$11.26,-0.05,-0.442%,137375401.00,,2018,25618,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$22.29,-0.06,-0.268%,276660471.00,,,21946,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$9.84,0.14,1.443%,226098895.00,,2014,296589,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.63,-0.01,-0.039%,,,,700,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.54,-0.11,-0.429%,,,,2917,,
BRN,Barnwell Industries Inc. Common Stock,$2.50,0.05,2.041%,20692900.00,United States,,141425,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.79,0.11,2.35%,5038130747.00,Canada,,4734964,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$4.04,0.80,24.691%,73938238.00,United States,,15983205,Miscellaneous,Industrial Machinery/Components
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$5.94,-1.97,-24.905%,246594146.00,United States,,767573,,
BWL/A,Bowl America Inc.,$10.15,-0.105,-1.024%,,United States,,608,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.29,-0.01,-0.435%,39368633.00,Israel,,173500,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$114.12,-3.25,-2.769%,1078022141.00,United States,,8377,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$3.70,0.02,0.543%,44474522.00,United States,,38526,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$0.792,-0.0368,-4.44%,28032950.00,United States,,2448422,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$39.00,-0.0488,-0.125%,1023375717.00,United States,,6795,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.49,0.03,0.223%,96231927.00,United States,1999,20919,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.15,-0.005,-0.049%,109399796.00,,2020,10898,Finance,Business Services
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.90,-0.24,-2.367%,119136600.00,,2021,3435,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.42,0.01,0.293%,178882857.00,United States,,730103,,
CIX,CompX International Inc. Common Stock,$20.74,0.28,1.369%,258236996.00,United States,1998,15181,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$12.95,0.02,0.155%,25155310.00,United States,,649,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$13.62,-0.05,-0.366%,1057898565.00,United States,1987,1826465,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$14.05,0.60,4.461%,170269463.00,Canada,,135128,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$11.89,0.03,0.253%,100780199.00,United States,,53070,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$30.47,-0.55,-1.773%,40494843.00,United States,,4097,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.8464,0.0234,2.843%,38578537.00,China,,500583,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$41.57,0.15,0.362%,20120758083.00,United States,2007,94209,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$13.42,-0.12,-0.886%,550805219.00,United States,,957827,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$3.98,0.01,0.252%,285049379.00,,2015,164166,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$1.96,0.04,2.083%,23756568.00,United States,2017,16914,Miscellaneous,Business Services
