symbol,date,occurrences
AAC,2021-02-07,1
AAC,2021-02-10,1
AAC,2021-02-11,2
AAC,2021-02-18,1
AAC,2021-02-20,1
AAC,2021-03-01,1
AAC,2021-03-02,1
AAC,2021-03-04,2
AAC,2021-03-06,1
AAC,2021-03-07,1
AAC,2021-03-16,1
AAC,2021-03-23,1
AAC,2021-03-27,1
AAC,2021-04-01,1
ABB,2021-01-29,1
ABB,2021-02-02,1
ABB,2021-02-06,2
ABB,2021-02-08,1
ABB,2021-02-12,1
ABB,2021-02-20,1
ABB,2021-02-25,1
ABB,2021-03-02,1
ABB,2021-03-03,1
ABB,2021-03-06,1
ABB,2021-03-15,1
ABB,2021-03-18,1
ABB,2021-03-22,1
ABB,2021-04-01,1
ABB,2021-04-03,1
ABC,2021-01-29,1
ABC,2021-01-30,18
ABC,2021-02-01,2
ABC,2021-02-03,5
ABC,2021-02-07,6
ABC,2021-02-10,1
ABC,2021-02-12,1
ABC,2021-02-16,1
ABC,2021-02-19,1
ABC,2021-02-21,1
ABC,2021-02-23,1
ABC,2021-02-26,1
ABC,2021-02-27,2
ABC,2021-03-02,1
ABC,2021-03-04,3
ABC,2021-03-06,1
ABC,2021-03-07,1
ABC,2021-03-10,1
ABC,2021-03-11,2
ABC,2021-03-30,1
ABEV,2021-02-17,3
ABEV,2021-02-24,3
ABEV,2021-02-26,1
ABEV,2021-03-04,3
ACA,2021-01-30,1
ACA,2021-01-31,1
ACA,2021-02-03,1
ACA,2021-02-04,3
ACA,2021-02-05,1
ACA,2021-02-20,1
ACA,2021-03-02,1
ACA,2021-03-05,1
ACA,2021-03-09,1
ACA,2021-03-12,1
ACA,2021-03-16,1
ACA,2021-04-01,1
ACB,2021-01-29,3
ACB,2021-02-02,1
ACB,2021-02-03,1
ACB,2021-02-05,5
ACB,2021-02-06,3
ACB,2021-02-08,3
ACB,2021-02-10,2
ACB,2021-02-11,10
ACB,2021-02-12,1
ACB,2021-02-14,1
ACB,2021-02-15,3
ACB,2021-02-16,1
ACB,2021-03-02,1
ACB,2021-03-09,1
ACB,2021-03-10,1
ACB,2021-03-14,1
ACB,2021-03-30,1
ACB,2021-04-04,1
ACB,2021-04-08,6
ACC,2021-01-29,3
ACC,2021-02-02,1
ACC,2021-02-04,1
ACC,2021-02-05,1
ACC,2021-02-09,3
ACC,2021-02-15,1
ACC,2021-02-24,1
ACC,2021-03-08,1
ACC,2021-03-12,1
ACC,2021-03-15,2
ACC,2021-03-23,1
ACC,2021-03-30,1
ACC,2021-03-31,1
ACC,2021-04-09,1
ACH,2021-01-29,6
ACH,2021-01-31,4
ACH,2021-02-09,1
ACH,2021-02-28,1
ACH,2021-03-07,1
ADC,2021-01-31,1
ADC,2021-02-02,2
ADC,2021-02-03,1
ADC,2021-02-06,1
ADC,2021-02-07,1
ADC,2021-02-09,1
ADC,2021-02-17,1
ADC,2021-02-20,1
ADC,2021-02-22,1
ADC,2021-03-03,1
ADC,2021-03-06,1
ADC,2021-03-12,1
ADC,2021-03-21,1
ADC,2021-03-23,1
ADC,2021-03-31,1
ADC,2021-04-08,6
ADS,2021-01-29,1
ADS,2021-01-30,3
ADS,2021-01-31,3
ADS,2021-02-01,2
ADS,2021-02-03,2
ADS,2021-02-04,4
ADS,2021-02-05,6
ADS,2021-02-06,2
ADS,2021-02-08,5
ADS,2021-02-09,7
ADS,2021-02-11,1
ADS,2021-02-12,3
ADS,2021-02-13,1
ADS,2021-02-14,3
ADS,2021-02-16,1
ADS,2021-02-20,1
ADS,2021-02-21,2
ADS,2021-02-22,1
ADS,2021-02-23,1
ADS,2021-02-25,19
ADS,2021-02-27,1
ADS,2021-03-02,1
ADS,2021-03-04,4
ADS,2021-03-05,3
ADS,2021-03-11,2
ADS,2021-03-12,1
ADS,2021-03-15,1
ADS,2021-03-20,1
ADS,2021-03-24,2
ADS,2021-03-27,1
ADS,2021-03-29,1
ADS,2021-04-06,1
ADS,2021-04-09,1
AEB,2021-01-29,2
AEB,2021-02-02,1
AEB,2021-02-04,1
AEB,2021-02-05,1
AEB,2021-02-06,1
AEB,2021-02-17,2
AEB,2021-03-03,1
AEB,2021-03-04,1
AEB,2021-03-10,1
AEB,2021-03-16,1
AEB,2021-03-19,1
AEB,2021-03-20,1
AEB,2021-03-25,1
AEB,2021-04-03,1
AEE,2021-01-29,1
AEE,2021-02-03,1
AEE,2021-02-17,1
AEE,2021-02-20,1
AEE,2021-02-21,1
AEE,2021-02-27,2
AEE,2021-03-04,1
AEE,2021-03-05,1
AEE,2021-03-10,1
AEE,2021-03-18,1
AEE,2021-03-23,1
AEE,2021-04-01,1
AEE,2021-04-03,1
AEE,2021-04-08,6
AFB,2021-01-29,1
AFB,2021-01-30,1
AFB,2021-02-04,6
AFB,2021-02-15,1
AFB,2021-02-16,1
AFB,2021-03-04,1
AFB,2021-03-11,2
AFB,2021-03-25,1
AFB,2021-03-27,2
AGO,2021-01-28,21
AGO,2021-01-29,138
AGO,2021-01-30,30
AGO,2021-01-31,32
AGO,2021-02-01,22
AGO,2021-02-02,27
AGO,2021-02-03,46
AGO,2021-02-04,37
AGO,2021-02-05,59
AGO,2021-02-06,60
AGO,2021-02-07,37
AGO,2021-02-08,19
AGO,2021-02-09,13
AGO,2021-02-10,33
AGO,2021-02-11,15
AGO,2021-02-12,15
AGO,2021-02-13,13
AGO,2021-02-14,14
AGO,2021-02-15,12
AGO,2021-02-16,13
AGO,2021-02-17,12
AGO,2021-02-18,10
AGO,2021-02-19,7
AGO,2021-02-20,17
AGO,2021-02-21,9
AGO,2021-02-22,3
AGO,2021-02-23,11
AGO,2021-02-24,12
AGO,2021-02-25,13
AGO,2021-02-26,8
AGO,2021-02-27,11
AGO,2021-02-28,2
AGO,2021-03-01,13
AGO,2021-03-02,14
AGO,2021-03-03,16
AGO,2021-03-04,24
AGO,2021-03-05,13
AGO,2021-03-06,19
AGO,2021-03-07,6
AGO,2021-03-08,6
AGO,2021-03-09,6
AGO,2021-03-10,17
AGO,2021-03-11,17
AGO,2021-03-12,12
AGO,2021-03-13,8
AGO,2021-03-14,9
AGO,2021-03-15,9
AGO,2021-03-16,9
AGO,2021-03-17,12
AGO,2021-03-18,10
AGO,2021-03-19,7
AGO,2021-03-20,4
AGO,2021-03-21,3
AGO,2021-03-22,4
AGO,2021-03-23,4
AGO,2021-03-24,2
AGO,2021-03-25,4
AGO,2021-03-26,3
AGO,2021-03-27,6
AGO,2021-03-28,4
AGO,2021-03-29,2
AGO,2021-03-30,4
AGO,2021-03-31,1
AGO,2021-04-01,5
AGO,2021-04-02,3
AGO,2021-04-03,2
AGO,2021-04-04,4
AGO,2021-04-05,1
AGO,2021-04-06,4
AGO,2021-04-07,7
AGO,2021-04-08,3
AGO,2021-04-09,3
AIN,2021-01-29,52
AIN,2021-01-30,9
AIN,2021-01-31,7
AIN,2021-02-01,5
AIN,2021-02-02,8
AIN,2021-02-03,11
AIN,2021-02-04,11
AIN,2021-02-05,20
AIN,2021-02-06,12
AIN,2021-02-07,4
AIN,2021-02-08,4
AIN,2021-02-09,5
AIN,2021-02-10,1
AIN,2021-02-11,4
AIN,2021-02-12,4
AIN,2021-02-13,3
AIN,2021-02-14,2
AIN,2021-02-15,1
AIN,2021-02-16,1
AIN,2021-02-18,1
AIN,2021-02-20,3
AIN,2021-02-21,3
AIN,2021-02-23,1
AIN,2021-02-24,1
AIN,2021-02-25,2
AIN,2021-02-26,5
AIN,2021-02-28,4
AIN,2021-03-02,3
AIN,2021-03-03,1
AIN,2021-03-04,6
AIN,2021-03-05,6
AIN,2021-03-06,4
AIN,2021-03-08,1
AIN,2021-03-09,4
AIN,2021-03-10,2
AIN,2021-03-11,4
AIN,2021-03-12,2
AIN,2021-03-15,1
AIN,2021-03-17,5
AIN,2021-03-18,5
AIN,2021-03-20,3
AIN,2021-03-23,1
AIN,2021-03-26,2
AIN,2021-03-30,2
AIN,2021-04-07,1
AIN,2021-04-09,1
AIR,2021-01-28,7
AIR,2021-01-29,18
AIR,2021-01-30,3
AIR,2021-01-31,4
AIR,2021-02-01,4
AIR,2021-02-02,6
AIR,2021-02-03,15
AIR,2021-02-04,12
AIR,2021-02-05,31
AIR,2021-02-06,9
AIR,2021-02-07,8
AIR,2021-02-08,4
AIR,2021-02-09,2
AIR,2021-02-10,3
AIR,2021-02-11,3
AIR,2021-02-12,4
AIR,2021-02-14,4
AIR,2021-02-15,3
AIR,2021-02-16,7
AIR,2021-02-17,6
AIR,2021-02-18,21
AIR,2021-02-19,5
AIR,2021-02-20,2
AIR,2021-02-21,4
AIR,2021-02-22,1
AIR,2021-02-23,3
AIR,2021-02-24,3
AIR,2021-02-25,4
AIR,2021-02-26,5
AIR,2021-02-27,1
AIR,2021-03-01,1
AIR,2021-03-04,5
AIR,2021-03-05,3
AIR,2021-03-06,2
AIR,2021-03-07,2
AIR,2021-03-08,3
AIR,2021-03-09,2
AIR,2021-03-10,6
AIR,2021-03-11,1
AIR,2021-03-12,1
AIR,2021-03-13,1
AIR,2021-03-14,4
AIR,2021-03-15,1
AIR,2021-03-17,1
AIR,2021-03-18,18
AIR,2021-03-19,1
AIR,2021-03-20,5
AIR,2021-03-22,1
AIR,2021-03-24,3
AIR,2021-03-26,1
AIR,2021-03-27,2
AIR,2021-03-29,1
AIR,2021-03-30,3
AIR,2021-03-31,3
AIR,2021-04-01,2
AIR,2021-04-05,1
AIR,2021-04-06,1
AIR,2021-04-07,1
ALEX,2021-01-29,5
ALEX,2021-01-30,2
ALEX,2021-02-02,1
ALEX,2021-02-13,8
ALEX,2021-02-14,1
ALEX,2021-02-16,5
ALEX,2021-02-17,1
ALEX,2021-02-18,1
ALEX,2021-02-21,1
ALEX,2021-02-22,4
ALEX,2021-02-23,1
ALEX,2021-02-24,4
ALEX,2021-03-04,1
ALEX,2021-03-05,1
ALEX,2021-03-07,2
ALEX,2021-03-08,1
ALEX,2021-03-09,1
ALEX,2021-03-10,2
ALEX,2021-03-11,1
ALEX,2021-03-13,1
ALEX,2021-03-15,3
ALEX,2021-03-18,2
ALEX,2021-03-21,6
ALEX,2021-03-23,3
ALEX,2021-03-30,2
ALL,2021-01-28,315
ALL,2021-01-29,2923
ALL,2021-01-30,812
ALL,2021-01-31,652
ALL,2021-02-01,516
ALL,2021-02-02,466
ALL,2021-02-03,739
ALL,2021-02-04,633
ALL,2021-02-05,1042
ALL,2021-02-06,826
ALL,2021-02-07,347
ALL,2021-02-08,227
ALL,2021-02-09,145
ALL,2021-02-10,197
ALL,2021-02-11,175
ALL,2021-02-12,228
ALL,2021-02-13,203
ALL,2021-02-14,152
ALL,2021-02-15,112
ALL,2021-02-16,184
ALL,2021-02-17,120
ALL,2021-02-18,121
ALL,2021-02-19,149
ALL,2021-02-20,115
ALL,2021-02-21,111
ALL,2021-02-22,93
ALL,2021-02-23,145
ALL,2021-02-24,127
ALL,2021-02-25,165
ALL,2021-02-26,217
ALL,2021-02-27,183
ALL,2021-02-28,106
ALL,2021-03-01,154
ALL,2021-03-02,173
ALL,2021-03-03,218
ALL,2021-03-04,249
ALL,2021-03-05,230
ALL,2021-03-06,197
ALL,2021-03-07,115
ALL,2021-03-08,148
ALL,2021-03-09,148
ALL,2021-03-10,200
ALL,2021-03-11,206
ALL,2021-03-12,152
ALL,2021-03-13,132
ALL,2021-03-14,116
ALL,2021-03-15,122
ALL,2021-03-16,142
ALL,2021-03-17,149
ALL,2021-03-18,188
ALL,2021-03-19,113
ALL,2021-03-20,85
ALL,2021-03-21,51
ALL,2021-03-22,86
ALL,2021-03-23,85
ALL,2021-03-24,132
ALL,2021-03-25,139
ALL,2021-03-26,60
ALL,2021-03-27,59
ALL,2021-03-28,26
ALL,2021-03-29,48
ALL,2021-03-30,46
ALL,2021-03-31,30
ALL,2021-04-01,81
ALL,2021-04-02,45
ALL,2021-04-03,18
ALL,2021-04-04,10
ALL,2021-04-05,34
ALL,2021-04-06,63
ALL,2021-04-07,57
ALL,2021-04-08,46
ALL,2021-04-09,55
ALLY,2021-01-29,43
ALLY,2021-01-30,12
ALLY,2021-01-31,5
ALLY,2021-02-02,8
ALLY,2021-02-03,1
ALLY,2021-02-06,3
ALLY,2021-02-07,1
ALLY,2021-02-09,3
ALLY,2021-02-16,1
ALLY,2021-02-20,1
ALLY,2021-03-02,1
ALLY,2021-03-05,1
ALLY,2021-03-07,1
ALLY,2021-03-09,1
ALLY,2021-03-11,1
ALLY,2021-03-16,1
ALLY,2021-03-19,1
ALLY,2021-03-22,2
ALLY,2021-03-23,5
ALLY,2021-04-01,4
ALLY,2021-04-07,1
AMC,2021-01-28,146
AMC,2021-01-29,1142
AMC,2021-01-30,179
AMC,2021-01-31,122
AMC,2021-02-01,109
AMC,2021-02-02,130
AMC,2021-02-03,168
AMC,2021-02-04,164
AMC,2021-02-05,256
AMC,2021-02-06,198
AMC,2021-02-07,86
AMC,2021-02-08,100
AMC,2021-02-09,26
AMC,2021-02-10,38
AMC,2021-02-11,19
AMC,2021-02-12,27
AMC,2021-02-13,11
AMC,2021-02-14,13
AMC,2021-02-15,30
AMC,2021-02-16,42
AMC,2021-02-17,29
AMC,2021-02-18,7
AMC,2021-02-19,5
AMC,2021-02-20,20
AMC,2021-02-21,20
AMC,2021-02-22,12
AMC,2021-02-23,2
AMC,2021-02-24,20
AMC,2021-02-25,26
AMC,2021-02-26,61
AMC,2021-02-27,28
AMC,2021-02-28,8
AMC,2021-03-01,56
AMC,2021-03-02,21
AMC,2021-03-03,62
AMC,2021-03-04,37
AMC,2021-03-05,30
AMC,2021-03-06,57
AMC,2021-03-07,38
AMC,2021-03-08,9
AMC,2021-03-09,16
AMC,2021-03-10,7
AMC,2021-03-11,86
AMC,2021-03-12,18
AMC,2021-03-13,4
AMC,2021-03-14,9
AMC,2021-03-15,45
AMC,2021-03-16,22
AMC,2021-03-17,33
AMC,2021-03-18,18
AMC,2021-03-19,25
AMC,2021-03-20,9
AMC,2021-03-21,3
AMC,2021-03-22,26
AMC,2021-03-23,4
AMC,2021-03-24,2
AMC,2021-03-25,38
AMC,2021-03-26,12
AMC,2021-03-27,6
AMC,2021-03-29,1
AMC,2021-03-30,1
AMC,2021-03-31,5
AMC,2021-04-01,3
AMC,2021-04-02,3
AMC,2021-04-03,1
AMC,2021-04-05,1
AMC,2021-04-06,1
AMC,2021-04-07,1
AMC,2021-04-09,4
AMP,2021-01-28,3
AMP,2021-01-29,38
AMP,2021-01-30,6
AMP,2021-01-31,39
AMP,2021-02-01,31
AMP,2021-02-02,27
AMP,2021-02-03,16
AMP,2021-02-04,22
AMP,2021-02-05,43
AMP,2021-02-06,19
AMP,2021-02-07,7
AMP,2021-02-08,52
AMP,2021-02-09,3
AMP,2021-02-10,12
AMP,2021-02-11,4
AMP,2021-02-12,13
AMP,2021-02-13,3
AMP,2021-02-14,6
AMP,2021-02-15,18
AMP,2021-02-17,5
AMP,2021-02-18,3
AMP,2021-02-20,3
AMP,2021-02-21,16
AMP,2021-02-22,3
AMP,2021-02-23,13
AMP,2021-02-24,9
AMP,2021-02-25,4
AMP,2021-02-26,19
AMP,2021-02-27,7
AMP,2021-02-28,7
AMP,2021-03-01,1
AMP,2021-03-02,2
AMP,2021-03-03,7
AMP,2021-03-04,6
AMP,2021-03-05,5
AMP,2021-03-06,23
AMP,2021-03-08,12
AMP,2021-03-09,5
AMP,2021-03-10,2
AMP,2021-03-12,17
AMP,2021-03-13,1
AMP,2021-03-14,4
AMP,2021-03-15,15
AMP,2021-03-17,15
AMP,2021-03-19,3
AMP,2021-03-20,2
AMP,2021-03-22,139
AMP,2021-03-24,6
AMP,2021-03-29,2
AMP,2021-03-30,6
AMP,2021-03-31,1
AMP,2021-04-01,3
AMP,2021-04-04,1
AMP,2021-04-05,33
AMP,2021-04-07,3
AMP,2021-04-08,1
AMP,2021-04-09,3
ARC,2021-01-29,4
ARC,2021-02-04,1
ARC,2021-02-17,1
ARC,2021-02-18,1
ARC,2021-02-19,1
ARC,2021-04-09,3
ARE,2021-01-28,531
ARE,2021-01-29,4115
ARE,2021-01-30,1249
ARE,2021-01-31,1046
ARE,2021-02-01,910
ARE,2021-02-02,929
ARE,2021-02-03,1291
ARE,2021-02-04,971
ARE,2021-02-05,1421
ARE,2021-02-06,1289
ARE,2021-02-07,617
ARE,2021-02-08,354
ARE,2021-02-09,291
ARE,2021-02-10,368
ARE,2021-02-11,314
ARE,2021-02-12,381
ARE,2021-02-13,322
ARE,2021-02-14,339
ARE,2021-02-15,160
ARE,2021-02-16,314
ARE,2021-02-17,215
ARE,2021-02-18,230
ARE,2021-02-19,235
ARE,2021-02-20,297
ARE,2021-02-21,150
ARE,2021-02-22,191
ARE,2021-02-23,230
ARE,2021-02-24,231
ARE,2021-02-25,258
ARE,2021-02-26,347
ARE,2021-02-27,270
ARE,2021-02-28,220
ARE,2021-03-01,216
ARE,2021-03-02,333
ARE,2021-03-03,332
ARE,2021-03-04,484
ARE,2021-03-05,367
ARE,2021-03-06,377
ARE,2021-03-07,240
ARE,2021-03-08,218
ARE,2021-03-09,227
ARE,2021-03-10,259
ARE,2021-03-11,279
ARE,2021-03-12,254
ARE,2021-03-13,222
ARE,2021-03-14,203
ARE,2021-03-15,270
ARE,2021-03-16,249
ARE,2021-03-17,305
ARE,2021-03-18,309
ARE,2021-03-19,163
ARE,2021-03-20,120
ARE,2021-03-21,132
ARE,2021-03-22,161
ARE,2021-03-23,166
ARE,2021-03-24,217
ARE,2021-03-25,214
ARE,2021-03-26,99
ARE,2021-03-27,75
ARE,2021-03-28,63
ARE,2021-03-29,77
ARE,2021-03-30,85
ARE,2021-03-31,54
ARE,2021-04-01,124
ARE,2021-04-02,114
ARE,2021-04-03,46
ARE,2021-04-04,29
ARE,2021-04-05,66
ARE,2021-04-06,87
ARE,2021-04-07,89
ARE,2021-04-08,70
ARE,2021-04-09,88
ASH,2021-01-29,2
ASH,2021-02-06,1
ASH,2021-02-09,1
ASH,2021-02-26,5
ASH,2021-03-02,3
