symbol,date,occurrences
AA,2021-01-28,1
AA,2021-01-29,2
AA,2021-02-01,2
AA,2021-02-03,1
AA,2021-02-06,2
AA,2021-02-09,2
AA,2021-02-11,2
AA,2021-03-24,1
AB,2021-01-31,1
AB,2021-02-03,5
AB,2021-02-05,1
AB,2021-02-12,1
AB,2021-02-17,1
AB,2021-02-22,1
AB,2021-02-23,1
AB,2021-03-05,1
ABC,2021-01-30,18
ABC,2021-02-03,5
ABC,2021-02-07,5
ABC,2021-02-10,1
ABC,2021-02-12,1
ABC,2021-02-21,1
ABC,2021-02-23,1
ABC,2021-03-04,3
ABC,2021-03-06,1
ABC,2021-03-11,1
ABEV,2021-02-17,3
ABEV,2021-02-24,3
ABEV,2021-02-26,1
ABEV,2021-03-04,3
AC,2021-01-29,1
AC,2021-01-30,1
AC,2021-02-01,2
AC,2021-02-03,1
AC,2021-02-11,1
AC,2021-02-12,1
AC,2021-03-06,2
AC,2021-03-11,1
AC,2021-03-12,1
AC,2021-03-18,1
ACB,2021-01-29,2
ACB,2021-02-02,1
ACB,2021-02-03,1
ACB,2021-02-05,5
ACB,2021-02-06,1
ACB,2021-02-08,1
ACB,2021-02-11,10
ACB,2021-02-15,2
ACB,2021-03-09,1
ACB,2021-03-30,1
ACH,2021-01-29,6
ACH,2021-01-31,4
ACH,2021-02-09,1
ACH,2021-02-28,1
AG,2021-01-28,5
AG,2021-01-29,57
AG,2021-01-30,4
AG,2021-01-31,2
AG,2021-02-01,2
AG,2021-02-02,7
AG,2021-02-03,3
AG,2021-02-04,1
AG,2021-02-05,1
AG,2021-02-06,2
AG,2021-02-11,1
AG,2021-02-12,1
AG,2021-02-14,1
AG,2021-02-15,2
AG,2021-02-16,6
AG,2021-02-20,1
AG,2021-02-25,1
AG,2021-02-27,1
AG,2021-03-10,1
AG,2021-03-19,1
AG,2021-03-22,7
AG,2021-04-03,1
AG,2021-04-07,1
AG,2021-04-09,2
AGO,2021-01-29,2
AGO,2021-01-30,1
AGO,2021-02-02,1
AGO,2021-02-03,1
AGO,2021-02-05,3
AGO,2021-02-22,1
AGO,2021-03-10,2
AGO,2021-03-27,1
AGO,2021-04-02,1
AI,2021-01-29,6
AI,2021-01-30,5
AI,2021-01-31,3
AI,2021-02-02,1
AI,2021-02-04,4
AI,2021-02-05,1
AI,2021-02-06,4
AI,2021-02-07,12
AI,2021-02-08,12
AI,2021-02-10,1
AI,2021-02-11,2
AI,2021-02-12,4
AI,2021-02-13,7
AI,2021-02-14,1
AI,2021-02-15,4
AI,2021-02-17,3
AI,2021-02-18,7
AI,2021-02-19,3
AI,2021-02-20,3
AI,2021-02-21,1
AI,2021-02-22,10
AI,2021-02-23,3
AI,2021-02-24,10
AI,2021-02-25,4
AI,2021-02-26,5
AI,2021-02-27,2
AI,2021-02-28,3
AI,2021-03-01,1
AI,2021-03-03,4
AI,2021-03-04,6
AI,2021-03-05,1
AI,2021-03-08,2
AI,2021-03-09,2
AI,2021-03-10,2
AI,2021-03-12,1
AI,2021-03-13,3
AI,2021-03-15,2
AI,2021-03-16,2
AI,2021-03-17,18
AI,2021-03-18,20
AI,2021-03-19,1
AI,2021-03-20,9
AI,2021-03-21,4
AI,2021-03-23,2
AI,2021-03-24,5
AI,2021-03-26,1
AI,2021-03-27,4
AI,2021-03-28,2
AI,2021-04-03,1
AI,2021-04-04,1
ALL,2021-01-28,10
ALL,2021-01-29,166
ALL,2021-01-30,28
ALL,2021-01-31,20
